directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
2656,4564469,1,2,1,BOGOTA,3,3,0,29,2,1,6,6,1,11,24,5,50,2,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,2e+06,0,0,0,0,0,0,2e+06,2e+06,207.756412932239,11,207.756412932239,208,7,0,1,1,1,0,1,0,50,1,0,0,1,2,841,14.5086577385242,1,29,2500,125000
12094,4721249,1,1,1,BOGOTA,9,3,1,62,1,1,6,1,1,45,120,4,24,1,3,2,0,2,1,0,1e+06,0,2,0,0,0,0,0,0,1,5e+05,0,0,1e+06,0,0,0,1500000,1500000,247.687437317754,11,247.687437317754,248,7,0,3,1,1,0,1,0,24,1,0,1,1,1,3844,14.2209756660724,0,0,576,13824
5422,4612206,1,3,1,BOGOTA,5,2,1,46,3,1,4,9,1,45,120,4,20,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,261.230895096819,11,261.230895096819,261,5,0,2,1,1,0,1,0,20,0,1,1,1,1,2116,13.8155105579643,0,0,400,8000
15281,4782241,1,1,1,BOGOTA,12,3,0,54,1,1,4,8,2,53,0,4,26,1,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,285.682965915228,11,285.682965915228,286,5,0,2,1,1,0,1,0,26,0,1,1,1,1,2916,0,1,54,676,17576
14136,4757489,1,1,1,BOGOTA,11,1,1,25,1,2,5,11,1,98,4,4,90,1,2,2,0,2,2,0,0,0,1,0,0,0,0,0,8e+05,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,337.55470404752,11,337.55470404752,338,6,1,2,1,1,0,1,0,90,0,1,1,1,1,625,13.8155105579643,0,0,8100,729000
14027,4757409,1,1,1,BOGOTA,11,2,0,60,1,1,4,6,1,53,9,4,40,1,2,2,0,2,1,0,890000,0,2,0,0,0,0,0,0,1,450000,0,0,890000,0,0,0,1340000,1340000,398.405325669805,11,398.405325669805,398,5,0,2,1,1,0,1,0,40,0,1,1,1,1,3600,14.1081801719271,1,60,1600,64000
11016,4705560,1,1,1,BOGOTA,8,3,0,70,1,1,4,8,4,56,180,4,16,1,2,2,0,2,2,0,0,0,1,0,2500000,0,0,0,0,1,320000,0,0,0,208333.333333333,0,0,528333.333333333,528333.333333333,246.237950366112,11,246.237950366112,246,5,0,2,1,1,0,1,0,16,0,1,1,1,1,4900,13.1774826766254,1,70,256,4096
9298,4671581,1,2,1,BOGOTA,7,1,0,40,2,1,3,5,4,79,7,4,2,1,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,1,50000,0,0,0,0,0,0,50000,50000,210.554319271246,11,210.554319271246,211,4,0,2,1,1,0,1,0,2,0,1,1,1,1,1600,10.8197782844103,1,40,4,8
12207,4728900,1,4,1,BOGOTA,9,2,0,20,9,1,5,11,1,33,3,1,48,5,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,869453,0,0,0,0,0,0,869453,869453,214.768849417095,11,214.768849417095,215,6,1,1,1,1,0,1,0,48,1,0,0,0,4,400,13.6756195572614,1,20,2304,110592
5376,4607733,1,1,1,BOGOTA,4,1,1,27,1,1,5,11,1,95,4,1,50,9,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,9e+05,0,0,0,0,0,0,9e+05,9e+05,127.562025524266,11,127.562025524266,128,6,1,2,1,1,0,1,0,50,0,1,0,0,5,729,13.7101500423064,0,0,2500,125000
5909,4615516,1,1,1,BOGOTA,5,1,0,41,1,2,3,2,1,53,36,1,45,4,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1200000,0,0,0,0,0,0,1200000,1450000,252.985911059372,11,252.985911059372,253,3,0,2,1,1,0,1,0,45,0,1,0,0,3,1681,14.1870741143968,1,41,2025,91125
1401,4540596,1,3,1,BOGOTA,2,1,0,20,3,1,6,2,1,38,14,1,48,8,1,2,0,2,2,0,0,0,1,0,0,0,0,95000,0,1,930929.416666667,0,0,0,0,0,0,930929.416666667,930929.416666667,222.717642014764,11,222.717642014764,223,7,0,1,1,1,0,1,0,48,1,0,0,0,5,400,13.7439387388488,1,20,2304,110592
