directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
81,4514397,1,1,1,BOGOTA,1,4,1,41,1,1,6,5,6,44,84,1,48,9,1,2,0,2,1,1300000,0,0,1,0,0,0,0,0,0,1,5416666.66666667,0,0,0,0,0,1300000,6716666.66666667,6716666.66666667,341.979787849128,11,341.979787849128,342,7,0,1,1,1,0,1,0,48,1,0,0,0,5,1681,15.7201025576889,0,0,2304,110592
82,4514398,1,1,1,BOGOTA,1,4,0,58,1,1,5,11,6,51,240,5,36,4,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1300000,250.166944786892,11,250.166944786892,250,6,1,1,1,1,0,1,0,36,1,0,0,0,3,3364,14.0778748224318,1,58,1296,46656
85,4514401,1,1,1,BOGOTA,1,3,1,59,1,1,6,3,6,84,240,4,30,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,750000,0,0,0,0,0,0,750000,750000,238.640556816578,11,238.640556816578,239,7,0,2,1,1,0,1,0,30,0,1,1,1,1,3481,13.5278284855125,0,0,900,27000
86,4514402,1,2,1,BOGOTA,1,2,1,49,2,1,5,11,1,81,120,4,70,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,450000,205.425424579072,11,205.425424579072,205,6,1,2,1,1,0,1,0,70,0,1,1,1,1,2401,13.0170028617465,0,0,4900,343000
87,4514402,1,1,1,BOGOTA,1,2,0,53,1,1,5,11,1,55,24,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,849857,0,0,0,0,0,0,849857,849857,205.425424579072,11,205.425424579072,205,6,1,1,1,1,0,1,0,48,1,0,0,0,5,2809,13.6528233790192,1,53,2304,110592
89,4514404,1,3,1,BOGOTA,1,2,1,27,3,1,6,2,6,3,36,4,5,1,2,1,0,2,2,0,0,0,2,0,0,0,0,0,0,1,120000,0,0,0,0,0,0,120000,120000,250.166944786892,11,250.166944786892,250,7,0,2,1,1,0,1,0,9,0,1,1,1,1,729,11.6952470217642,0,0,81,729
90,4514404,1,2,1,BOGOTA,1,2,0,43,3,1,6,5,6,13,32,2,30,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1602000,0,0,0,0,0,0,1602000,2018667,250.166944786892,11,250.166944786892,250,7,0,1,1,1,0,1,0,30,1,0,0,0,5,1849,14.5179479505568,1,43,900,27000
91,4514404,1,1,1,BOGOTA,1,2,0,62,1,1,5,11,6,92,240,1,48,4,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,780000,0,0,0,0,0,0,780000,780000,250.166944786892,11,250.166944786892,250,6,1,2,1,1,0,1,0,48,0,1,0,0,3,3844,13.5670491986658,1,62,2304,110592
92,4514405,1,1,1,BOGOTA,1,2,1,47,1,1,5,11,1,98,48,1,60,4,2,2,0,2,2,0,0,0,1,0,0,0,0,0,8e+05,1,3200000,0,0,0,0,0,0,3200000,3200000,254.687742271476,11,254.687742271476,255,6,1,2,1,1,0,1,0,60,0,1,0,0,3,2209,14.97866136777,0,0,3600,216000
93,4514406,1,1,1,BOGOTA,1,3,0,44,1,1,6,3,4,37,5,1,10,4,1,2,0,2,1,7e+05,0,150000,2,0,0,0,0,0,0,1,7e+05,0,0,0,150000,0,7e+05,1550000,1550000,228.011704249585,11,228.011704249585,228,7,0,1,1,1,0,1,0,10,1,0,0,0,3,1936,14.2537654888954,1,44,100,1000
95,4514409,1,1,1,BOGOTA,1,2,0,42,1,1,5,11,1,57,36,4,40,1,2,2,0,2,2,0,0,0,1,2e+05,0,0,0,0,0,1,8e+05,0,0,0,16666.6666666667,0,0,816666.666666667,816666.666666667,207.728564476718,11,207.728564476718,208,6,1,2,1,1,0,1,0,40,0,1,1,1,1,1764,13.6129862938528,1,42,1600,64000
97,4514410,1,2,1,BOGOTA,1,3,1,38,2,1,4,8,6,58,42,1,84,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3201666.66666667,0,0,0,0,0,0,3201666.66666667,3201666.66666667,352.079215448786,11,352.079215448786,352,5,0,1,1,1,0,1,0,84,1,0,0,0,5,1444,14.9791820655167,0,0,7056,592704
98,4514411,1,3,1,BOGOTA,1,3,1,22,3,1,5,11,1,38,24,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,766883.666666667,0,0,0,0,0,0,766883.666666667,766883.666666667,194.208921972393,11,194.208921972393,194,6,1,1,1,1,0,1,0,48,1,0,0,0,5,484,13.5500903956603,0,0,2304,110592
103,4514412,1,2,1,BOGOTA,1,3,0,37,2,1,6,3,6,54,36,1,40,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,889217,0,0,0,0,0,0,889217,889217,204.858843475323,11,204.858843475323,205,7,0,1,1,1,0,1,0,40,1,0,0,0,5,1369,13.698096579198,1,37,1600,64000
104,4514413,1,3,1,BOGOTA,1,2,0,24,4,1,6,5,1,21,12,1,45,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1058300,0,0,0,0,0,0,1058300,1058300,134.415579182944,11,134.415579182944,134,7,0,1,1,1,0,1,0,45,1,0,0,0,5,576,13.8721744050818,1,24,2025,91125
107,4514415,1,3,1,BOGOTA,1,3,1,19,9,1,5,11,1,84,14,4,48,4,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1700000,0,0,0,0,0,0,1700000,1700000,228.011704249585,11,228.011704249585,228,6,1,2,1,1,0,1,0,48,0,1,1,0,3,361,14.3461388090264,0,0,2304,110592
109,4514416,1,2,1,BOGOTA,1,2,0,57,2,1,5,10,1,55,36,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,780000,0,0,0,0,0,0,780000,838333,210.553591911138,11,210.553591911138,211,6,1,1,1,1,0,1,0,48,1,0,0,0,5,3249,13.6391706752335,1,57,2304,110592
110,4514416,1,3,1,BOGOTA,1,2,1,24,3,1,5,11,6,58,24,1,16,3,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,1,6e+05,0,0,0,0,0,0,6e+05,6e+05,210.553591911138,11,210.553591911138,211,6,1,2,1,1,0,1,0,16,0,1,0,1,2,576,13.3046849341983,0,0,256,4096
